12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,12,13,14,60,61,62,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,36,37,38,12,13,14,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,60,61,62,36,37,38,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,84,85,86,60,61,62,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,36,84,85,84,85,86,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,12,13,14,84,85,86,84,85,86,60,61,62,60,61,62,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,36,37,38,12,84,84,84,85,86,84,85,86,84,85,86,86,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,60,61,62,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,0,1,2,2,1,2,36,62,60,61,62,60,61,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,61,62,60,61
84,24,25,26,26,25,26,36,86,84,85,86,84,85,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,85,86,84,85
12,48,49,50,50,49,50,36,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,72,73,74,74,73,74,36,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,-1,37,38,36,37
60,72,73,74,72,73,74,36,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,-1,61,62,60,61
84,36,36,36,36,36,36,36,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,86,86,84,85,86,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85
12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13,14,12,13
36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37,38,36,37
60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61,62,60,61
84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85,86,84,85
